,realtime_start,realtime_end,date,value
117,2024-12-12,2024-12-12,1957-10-01,4.5
118,2024-12-12,2024-12-12,1957-11-01,5.1
119,2024-12-12,2024-12-12,1957-12-01,5.2
120,2024-12-12,2024-12-12,1958-01-01,5.8
121,2024-12-12,2024-12-12,1958-02-01,6.4
122,2024-12-12,2024-12-12,1958-03-01,6.7
123,2024-12-12,2024-12-12,1958-04-01,7.4
124,2024-12-12,2024-12-12,1958-05-01,7.4
125,2024-12-12,2024-12-12,1958-06-01,7.3
126,2024-12-12,2024-12-12,1958-07-01,7.5
127,2024-12-12,2024-12-12,1958-08-01,7.4
128,2024-12-12,2024-12-12,1958-09-01,7.1
129,2024-12-12,2024-12-12,1958-10-01,6.7
130,2024-12-12,2024-12-12,1958-11-01,6.2
131,2024-12-12,2024-12-12,1958-12-01,6.2
132,2024-12-12,2024-12-12,1959-01-01,6.0
133,2024-12-12,2024-12-12,1959-02-01,5.9
134,2024-12-12,2024-12-12,1959-03-01,5.6
135,2024-12-12,2024-12-12,1959-04-01,5.2
136,2024-12-12,2024-12-12,1959-05-01,5.1
137,2024-12-12,2024-12-12,1959-06-01,5.0
138,2024-12-12,2024-12-12,1959-07-01,5.1
139,2024-12-12,2024-12-12,1959-08-01,5.2
140,2024-12-12,2024-12-12,1959-09-01,5.5
141,2024-12-12,2024-12-12,1959-10-01,5.7
142,2024-12-12,2024-12-12,1959-11-01,5.8
143,2024-12-12,2024-12-12,1959-12-01,5.3
144,2024-12-12,2024-12-12,1960-01-01,5.2
145,2024-12-12,2024-12-12,1960-02-01,4.8
146,2024-12-12,2024-12-12,1960-03-01,5.4
147,2024-12-12,2024-12-12,1960-04-01,5.2
148,2024-12-12,2024-12-12,1960-05-01,5.1
149,2024-12-12,2024-12-12,1960-06-01,5.4
150,2024-12-12,2024-12-12,1960-07-01,5.5
151,2024-12-12,2024-12-12,1960-08-01,5.6
152,2024-12-12,2024-12-12,1960-09-01,5.5
153,2024-12-12,2024-12-12,1960-10-01,6.1
154,2024-12-12,2024-12-12,1960-11-01,6.1
155,2024-12-12,2024-12-12,1960-12-01,6.6
156,2024-12-12,2024-12-12,1961-01-01,6.6
157,2024-12-12,2024-12-12,1961-02-01,6.9
158,2024-12-12,2024-12-12,1961-03-01,6.9
159,2024-12-12,2024-12-12,1961-04-01,7.0
160,2024-12-12,2024-12-12,1961-05-01,7.1
161,2024-12-12,2024-12-12,1961-06-01,6.9
162,2024-12-12,2024-12-12,1961-07-01,7.0
163,2024-12-12,2024-12-12,1961-08-01,6.6
164,2024-12-12,2024-12-12,1961-09-01,6.7
165,2024-12-12,2024-12-12,1961-10-01,6.5
166,2024-12-12,2024-12-12,1961-11-01,6.1
167,2024-12-12,2024-12-12,1961-12-01,6.0
168,2024-12-12,2024-12-12,1962-01-01,5.8
169,2024-12-12,2024-12-12,1962-02-01,5.5
170,2024-12-12,2024-12-12,1962-03-01,5.6
171,2024-12-12,2024-12-12,1962-04-01,5.6
172,2024-12-12,2024-12-12,1962-05-01,5.5
173,2024-12-12,2024-12-12,1962-06-01,5.5
174,2024-12-12,2024-12-12,1962-07-01,5.4
175,2024-12-12,2024-12-12,1962-08-01,5.7
176,2024-12-12,2024-12-12,1962-09-01,5.6
177,2024-12-12,2024-12-12,1962-10-01,5.4
178,2024-12-12,2024-12-12,1962-11-01,5.7
179,2024-12-12,2024-12-12,1962-12-01,5.5
180,2024-12-12,2024-12-12,1963-01-01,5.7
181,2024-12-12,2024-12-12,1963-02-01,5.9
182,2024-12-12,2024-12-12,1963-03-01,5.7
183,2024-12-12,2024-12-12,1963-04-01,5.7
184,2024-12-12,2024-12-12,1963-05-01,5.9
185,2024-12-12,2024-12-12,1963-06-01,5.6
186,2024-12-12,2024-12-12,1963-07-01,5.6
187,2024-12-12,2024-12-12,1963-08-01,5.4
188,2024-12-12,2024-12-12,1963-09-01,5.5
189,2024-12-12,2024-12-12,1963-10-01,5.5
190,2024-12-12,2024-12-12,1963-11-01,5.7
191,2024-12-12,2024-12-12,1963-12-01,5.5
192,2024-12-12,2024-12-12,1964-01-01,5.6
193,2024-12-12,2024-12-12,1964-02-01,5.4
194,2024-12-12,2024-12-12,1964-03-01,5.4
195,2024-12-12,2024-12-12,1964-04-01,5.3
196,2024-12-12,2024-12-12,1964-05-01,5.1
197,2024-12-12,2024-12-12,1964-06-01,5.2
198,2024-12-12,2024-12-12,1964-07-01,4.9
199,2024-12-12,2024-12-12,1964-08-01,5.0
200,2024-12-12,2024-12-12,1964-09-01,5.1
201,2024-12-12,2024-12-12,1964-10-01,5.1
202,2024-12-12,2024-12-12,1964-11-01,4.8
203,2024-12-12,2024-12-12,1964-12-01,5.0
204,2024-12-12,2024-12-12,1965-01-01,4.9
205,2024-12-12,2024-12-12,1965-02-01,5.1
206,2024-12-12,2024-12-12,1965-03-01,4.7
207,2024-12-12,2024-12-12,1965-04-01,4.8
208,2024-12-12,2024-12-12,1965-05-01,4.6
209,2024-12-12,2024-12-12,1965-06-01,4.6
210,2024-12-12,2024-12-12,1965-07-01,4.4
211,2024-12-12,2024-12-12,1965-08-01,4.4
212,2024-12-12,2024-12-12,1965-09-01,4.3
213,2024-12-12,2024-12-12,1965-10-01,4.2
214,2024-12-12,2024-12-12,1965-11-01,4.1
215,2024-12-12,2024-12-12,1965-12-01,4.0
216,2024-12-12,2024-12-12,1966-01-01,4.0
217,2024-12-12,2024-12-12,1966-02-01,3.8
218,2024-12-12,2024-12-12,1966-03-01,3.8
219,2024-12-12,2024-12-12,1966-04-01,3.8
220,2024-12-12,2024-12-12,1966-05-01,3.9
