,realtime_start,realtime_end,date,value
95,2024-12-19,2024-12-19,1969-10-01,1038.147
96,2024-12-19,2024-12-19,1970-01-01,1051.2
97,2024-12-19,2024-12-19,1970-04-01,1067.375
98,2024-12-19,2024-12-19,1970-07-01,1086.059
99,2024-12-19,2024-12-19,1970-10-01,1088.608
100,2024-12-19,2024-12-19,1971-01-01,1135.156
101,2024-12-19,2024-12-19,1971-04-01,1156.271
102,2024-12-19,2024-12-19,1971-07-01,1177.675
103,2024-12-19,2024-12-19,1971-10-01,1190.297
104,2024-12-19,2024-12-19,1972-01-01,1230.609
105,2024-12-19,2024-12-19,1972-04-01,1266.369
106,2024-12-19,2024-12-19,1972-07-01,1290.566
107,2024-12-19,2024-12-19,1972-10-01,1328.904
108,2024-12-19,2024-12-19,1973-01-01,1377.49
109,2024-12-19,2024-12-19,1973-04-01,1413.887
110,2024-12-19,2024-12-19,1973-07-01,1433.838
111,2024-12-19,2024-12-19,1973-10-01,1476.289
112,2024-12-19,2024-12-19,1974-01-01,1491.209
113,2024-12-19,2024-12-19,1974-04-01,1530.056
114,2024-12-19,2024-12-19,1974-07-01,1560.026
115,2024-12-19,2024-12-19,1974-10-01,1599.679
116,2024-12-19,2024-12-19,1975-01-01,1616.116
117,2024-12-19,2024-12-19,1975-04-01,1651.853
118,2024-12-19,2024-12-19,1975-07-01,1709.82
119,2024-12-19,2024-12-19,1975-10-01,1761.831
120,2024-12-19,2024-12-19,1976-01-01,1820.487
121,2024-12-19,2024-12-19,1976-04-01,1852.332
122,2024-12-19,2024-12-19,1976-07-01,1886.558
123,2024-12-19,2024-12-19,1976-10-01,1934.273
124,2024-12-19,2024-12-19,1977-01-01,1988.648
125,2024-12-19,2024-12-19,1977-04-01,2055.909
126,2024-12-19,2024-12-19,1977-07-01,2118.473
127,2024-12-19,2024-12-19,1977-10-01,2164.27
128,2024-12-19,2024-12-19,1978-01-01,2202.76
129,2024-12-19,2024-12-19,1978-04-01,2331.633
130,2024-12-19,2024-12-19,1978-07-01,2395.053
131,2024-12-19,2024-12-19,1978-10-01,2476.949
132,2024-12-19,2024-12-19,1979-01-01,2526.61
133,2024-12-19,2024-12-19,1979-04-01,2591.247
134,2024-12-19,2024-12-19,1979-07-01,2667.565
135,2024-12-19,2024-12-19,1979-10-01,2723.883
136,2024-12-19,2024-12-19,1980-01-01,2789.842
137,2024-12-19,2024-12-19,1980-04-01,2797.352
138,2024-12-19,2024-12-19,1980-07-01,2856.483
139,2024-12-19,2024-12-19,1980-10-01,2985.557
140,2024-12-19,2024-12-19,1981-01-01,3124.206
141,2024-12-19,2024-12-19,1981-04-01,3162.532
142,2024-12-19,2024-12-19,1981-07-01,3260.609
143,2024-12-19,2024-12-19,1981-10-01,3280.818
144,2024-12-19,2024-12-19,1982-01-01,3274.302
145,2024-12-19,2024-12-19,1982-04-01,3331.972
146,2024-12-19,2024-12-19,1982-07-01,3366.322
147,2024-12-19,2024-12-19,1982-10-01,3402.561
148,2024-12-19,2024-12-19,1983-01-01,3473.413
149,2024-12-19,2024-12-19,1983-04-01,3578.848
150,2024-12-19,2024-12-19,1983-07-01,3689.179
151,2024-12-19,2024-12-19,1983-10-01,3794.706
152,2024-12-19,2024-12-19,1984-01-01,3908.054
153,2024-12-19,2024-12-19,1984-04-01,4009.601
154,2024-12-19,2024-12-19,1984-07-01,4084.25
155,2024-12-19,2024-12-19,1984-10-01,4148.551
156,2024-12-19,2024-12-19,1985-01-01,4230.168
157,2024-12-19,2024-12-19,1985-04-01,4294.887
158,2024-12-19,2024-12-19,1985-07-01,4386.773
159,2024-12-19,2024-12-19,1985-10-01,4444.094
160,2024-12-19,2024-12-19,1986-01-01,4507.894
161,2024-12-19,2024-12-19,1986-04-01,4545.34
